SENSITIVE      _ctl_positive.py  (rc 0/0, 0.1s)
insensitive    _ctl_negative.py  (rc 0/0, 0.1s)
SENSITIVE      _ctl_artifact.py  (rc 0/0, 0.1s)
SENSITIVE      draft/backtest/archetype_need_curve.py  (rc 1/0, 0.1s)
insensitive    draft/backtest/board_pin.py  (rc 0/0, 0.0s)
insensitive    draft/backtest/candidate_ledger.py  (rc 0/0, 0.0s)
ERRORS-BOTH    draft/backtest/cli.py  (rc 1/1, 10.4s)
ERRORS-BOTH    draft/backtest/conditional_start_rate.py  (rc 1/1, 0.1s)
insensitive    draft/backtest/draft_behavior.py  (rc 0/0, 1.1s)
SENSITIVE      draft/backtest/draft_pick_vs_random.py  (rc 0/0, 0.1s)
SENSITIVE      draft/backtest/drop_vs_random.py  (rc 0/0, 0.4s)
TIMEOUT        draft/backtest/empirical_draft_value.py  (rc TIMEOUT/TIMEOUT, 45.0s)
SENSITIVE      draft/backtest/exp25_deadzone.py  (rc 0/0, 0.2s)
ERRORS-BOTH    draft/backtest/exp33.py  (rc 1/1, 11.0s)
ERRORS-BOTH    draft/backtest/exp33b_naive_source.py  (rc 1/1, 10.2s)
ERRORS-BOTH    draft/backtest/exp34.py  (rc 1/1, 10.4s)
ERRORS-BOTH    draft/backtest/exp34_dollars.py  (rc 1/1, 10.4s)
ERRORS-BOTH    draft/backtest/exp35_regression_sweep.py  (rc 1/1, 10.4s)
ERRORS-BOTH    draft/backtest/exp36.py  (rc 1/1, 10.3s)
insensitive    draft/backtest/exp_analyzer_prior_means.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/exp_bench_mix.py  (rc 0/0, 0.1s)
ERRORS-BOTH    draft/backtest/exp_construction_objective.py  (rc 1/1, 10.3s)
insensitive    draft/backtest/exp_discoverability.py  (rc 0/0, 0.6s)
insensitive    draft/backtest/exp_divergence.py  (rc 0/0, 0.1s)
SENSITIVE      draft/backtest/exp_inverse_adjuster.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/exp_keeper_option.py  (rc 0/0, 0.1s)
TIMEOUT        draft/backtest/exp_power_curve.py  (rc TIMEOUT/TIMEOUT, 45.0s)
insensitive    draft/backtest/exp_scoring_gap_correction.py  (rc 0/0, 0.1s)
SENSITIVE      draft/backtest/exp_stack_conversion.py  (rc 0/0, 0.1s)
SENSITIVE      draft/backtest/exp_stack_correlation.py  (rc 0/0, 2.6s)
insensitive    draft/backtest/exp_strategy_tournament.py  (rc 0/0, 3.2s)
insensitive    draft/backtest/exp_tiebreak_signals.py  (rc 0/0, 0.1s)
ERRORS-BOTH    draft/backtest/exp_tier_ceiling.py  (rc 1/1, 10.2s)
SENSITIVE      draft/backtest/exp_value_pockets.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/external_adp_capture.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/external_adp_source_study.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/external_pick_prediction.py  (rc 0/0, 0.0s)
ERRORS-BOTH    draft/backtest/external_pick_run.py  (rc 1/1, 10.0s)
ERRORS-BOTH    draft/backtest/flex_and_scarcity.py  (rc 1/1, 0.1s)
SENSITIVE      draft/backtest/flex_exposure.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/grade.py  (rc 0/0, 0.0s)
ERRORS-BOTH    draft/backtest/kdef_weekly_points.py  (rc 1/1, 9.9s)
SENSITIVE      draft/backtest/keeper_vs_random.py  (rc 0/0, 0.2s)
insensitive    draft/backtest/lineup_capture.py  (rc 0/0, 1.0s)
SENSITIVE      draft/backtest/measured_need_curve.py  (rc 1/0, 0.1s)
insensitive    draft/backtest/money_grade.py  (rc 0/0, 0.0s)
insensitive    draft/backtest/nflverse_durability.py  (rc 0/0, 0.0s)
insensitive    draft/backtest/nflverse_player_ceiling.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/nflverse_weekly_store.py  (rc 0/0, 0.0s)
SENSITIVE      draft/backtest/opponent_need_model.py  (rc 0/1, 0.9s)
SENSITIVE      draft/backtest/opponent_profiles.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/opponent_starters.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/opponent_tendency.py  (rc 0/0, 0.1s)
ERRORS-BOTH    draft/backtest/opportunity_adj_grade.py  (rc 1/1, 3.8s)
insensitive    draft/backtest/oracle_capture.py  (rc 0/0, 0.0s)
insensitive    draft/backtest/own_model_v3.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/own_model_v4.py  (rc 0/0, 0.1s)
insensitive    draft/backtest/owner_persistence.py  (rc 0/0, 0.0s)
insensitive    draft/backtest/p151_target_share_trend.py  (rc 0/0, 0.3s)
ERRORS-BOTH    draft/backtest/projection_error.py  (rc 1/1, 10.4s)
insensitive    draft/backtest/qb_scoring_arbitrage.py  (rc 0/0, 1.5s)
insensitive    draft/backtest/replay_waiver.py  (rc 0/0, 7.3s)
insensitive    draft/backtest/roster_robustness.py  (rc 0/0, 35.7s)
insensitive    draft/backtest/roster_shape_lab.py  (rc 0/0, 1.1s)
insensitive    draft/backtest/season_stamp.py  (rc 0/0, 0.0s)
SENSITIVE      draft/backtest/sim_validation.py  (rc 0/0, 2.5s)
SENSITIVE      draft/backtest/start_sit_vs_random.py  (rc 0/0, 3.5s)
SENSITIVE      draft/backtest/streamability.py  (rc 1/0, 0.1s)
insensitive    draft/backtest/tiered_outcome_model.py  (rc 0/0, 9.7s)
insensitive    draft/backtest/waiver_replacement.py  (rc 0/0, 0.0s)
insensitive    draft/backtest/waiver_transaction_history.py  (rc 0/0, 0.1s)
SENSITIVE      draft/backtest/waiver_vs_random.py  (rc 0/0, 0.3s)
insensitive    draft/backtest/wire_friction_table.py  (rc 0/0, 0.1s)

CONTROLS: positive=SENSITIVE (want SENSITIVE)  negative=insensitive (want insensitive)
